unet_optimize
0.01
2classes 
Epoch: 249, Acc: 0.9818973507813512, Acc_class: 0.9607743170705345, mIoU: 0.9272838971201027, fwIoU: 0.9650840401499606, best_mIoU: 0.9282540645992541, Loss: 0.021
Epoch: 250, Acc: 0.9815588832072583, Acc_class: 0.958759672882048, mIoU: 0.9258215927834346, fwIoU: 0.9644135537699547, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 251, Acc: 0.9820419821122721, Acc_class: 0.959380922548964, mIoU: 0.9276038919766458, fwIoU: 0.9653000125707661, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 252, Acc: 0.9820543681721966, Acc_class: 0.9586335963874832, mIoU: 0.9275462358830391, fwIoU: 0.9652987788881613, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 253, Acc: 0.982074540519988, Acc_class: 0.9611111000813488, mIoU: 0.9279516338688539, fwIoU: 0.9654124963096343, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 254, Acc: 0.9821083133307709, Acc_class: 0.9602149139944682, mIoU: 0.9279501023553847, fwIoU: 0.9654452811699742, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 255, Acc: 0.9818515543464115, Acc_class: 0.9608611089732204, mIoU: 0.9271350008300505, fwIoU: 0.9650046372779562, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 256, Acc: 0.981886751967603, Acc_class: 0.9614099949757106, mIoU: 0.9273326012461098, fwIoU: 0.965084900574192, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 257, Acc: 0.9818877699499435, Acc_class: 0.9608475316576555, mIoU: 0.9272601844772482, fwIoU: 0.965069149301485, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 258, Acc: 0.9817942803734211, Acc_class: 0.9580412722028939, mIoU: 0.92654897045092, fwIoU: 0.9648127384570045, best_mIoU: 0.9282540645992541, Loss: 0.022
Epoch: 259, Acc: 0.9813927082321432, Acc_class: 0.9600905842576453, mIoU: 0.9254247006407287, fwIoU: 0.9641587450042035, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 260, Acc: 0.9822409380647187, Acc_class: 0.9632035150470832, mIoU: 0.9288148176121784, fwIoU: 0.965775614798489, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 261, Acc: 0.9821356419606317, Acc_class: 0.9596780895716412, mIoU: 0.9279741538268256, fwIoU: 0.9654776531721008, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 262, Acc: 0.98186830483839, Acc_class: 0.9597917398730718, mIoU: 0.9270486340148, fwIoU: 0.9650010809644076, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 263, Acc: 0.9820631596720164, Acc_class: 0.960252077221748, mIoU: 0.9277961212340404, fwIoU: 0.9653653211816445, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 264, Acc: 0.9823259401982735, Acc_class: 0.9604452123017291, mIoU: 0.9287484529326897, fwIoU: 0.9658437352336903, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 265, Acc: 0.9816818596091773, Acc_class: 0.9569551818666456, mIoU: 0.9260033543155529, fwIoU: 0.9645761149118535, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 266, Acc: 0.98167333446316, Acc_class: 0.9581251527203527, mIoU: 0.9261353722909276, fwIoU: 0.9645983916565601, best_mIoU: 0.9288148176121784, Loss: 0.019
Epoch: 267, Acc: 0.9819610677190361, Acc_class: 0.9587716618296267, mIoU: 0.9272361052392586, fwIoU: 0.9651354514125767, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 268, Acc: 0.9820207273220876, Acc_class: 0.9617585016312531, mIoU: 0.9278493949698594, fwIoU: 0.9653360001091268, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 269, Acc: 0.9821422174941139, Acc_class: 0.9604363900116145, mIoU: 0.9280992815729455, fwIoU: 0.965513097114122, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 270, Acc: 0.9817194787391385, Acc_class: 0.9609956185459929, mIoU: 0.926690602493544, fwIoU: 0.9647721903394144, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 271, Acc: 0.9816158914345599, Acc_class: 0.9581941536038874, mIoU: 0.9259432511909584, fwIoU: 0.9644975959814998, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 272, Acc: 0.9819372509458163, Acc_class: 0.9594889390870112, mIoU: 0.9272498335498334, fwIoU: 0.9651152922524775, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 273, Acc: 0.9822098324406419, Acc_class: 0.9624104258230426, mIoU: 0.9286005779712942, fwIoU: 0.9656955099184581, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 274, Acc: 0.9819633505778812, Acc_class: 0.9597407942757351, mIoU: 0.9273758240333592, fwIoU: 0.965170072628505, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 275, Acc: 0.9821330781532553, Acc_class: 0.9604748968032586, mIoU: 0.9280722581261582, fwIoU: 0.9654978715244444, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 276, Acc: 0.9822124503701379, Acc_class: 0.9614120903467808, mIoU: 0.9284770840511876, fwIoU: 0.9656695086985722, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 277, Acc: 0.9817033746720273, Acc_class: 0.961441157049888, mIoU: 0.9266948415919126, fwIoU: 0.9647573549200142, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 278, Acc: 0.9813296523140546, Acc_class: 0.958911871939836, mIoU: 0.9250409817092693, fwIoU: 0.9640081421512606, best_mIoU: 0.9288148176121784, Loss: 0.019
Epoch: 279, Acc: 0.9822944259217875, Acc_class: 0.959634132569994, mIoU: 0.9285287940380086, fwIoU: 0.9657619067249804, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 280, Acc: 0.9822270444909218, Acc_class: 0.9598793510147263, mIoU: 0.9283236668346773, fwIoU: 0.9656482874299499, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 281, Acc: 0.9819356801881186, Acc_class: 0.9602893719181043, mIoU: 0.9273528615435721, fwIoU: 0.9651376151310019, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 282, Acc: 0.982247901574744, Acc_class: 0.9613758841828799, mIoU: 0.9285971158074826, fwIoU: 0.9657321003453712, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 283, Acc: 0.9814671535117954, Acc_class: 0.9623563655661046, mIoU: 0.9259954071815049, fwIoU: 0.9643636860702889, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 284, Acc: 0.9820522276119583, Acc_class: 0.9608583997395702, mIoU: 0.9278392529944404, fwIoU: 0.9653645823791545, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 285, Acc: 0.9821471176743413, Acc_class: 0.959624351113175, mIoU: 0.9280073871880999, fwIoU: 0.9654966071462856, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 286, Acc: 0.9814827710879432, Acc_class: 0.9624713678248014, mIoU: 0.9260654545889435, fwIoU: 0.9643952052189808, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 287, Acc: 0.9816587050717812, Acc_class: 0.9612724302256708, mIoU: 0.9265157354058267, fwIoU: 0.9646720859200855, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 288, Acc: 0.9821314976657385, Acc_class: 0.9596005744400335, mIoU: 0.9279490952912348, fwIoU: 0.9654677815007611, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 289, Acc: 0.9820147057801898, Acc_class: 0.9622009658419369, mIoU: 0.9278875102615949, fwIoU: 0.9653388969878445, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 290, Acc: 0.9820385195128412, Acc_class: 0.9605361831485495, mIoU: 0.927747695800776, fwIoU: 0.9653299331320306, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 291, Acc: 0.982141477419736, Acc_class: 0.9580036171670183, mIoU: 0.9277683510365959, fwIoU: 0.9654356246453962, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 292, Acc: 0.9819116578724668, Acc_class: 0.9591876410617939, mIoU: 0.9271188166177942, fwIoU: 0.965059843964508, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 293, Acc: 0.9822420089529516, Acc_class: 0.9570219189337668, mIoU: 0.9279909987242521, fwIoU: 0.9655857123600545, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 294, Acc: 0.9820761775620793, Acc_class: 0.9623436779893257, mIoU: 0.9281222387787809, fwIoU: 0.9654535672372941, best_mIoU: 0.9288148176121784, Loss: 0.021
Epoch: 295, Acc: 0.9818273222315317, Acc_class: 0.9614724126378444, mIoU: 0.9271328057416337, fwIoU: 0.9649803358103531, best_mIoU: 0.9288148176121784, Loss: 0.019
Epoch: 296, Acc: 0.9822428140954957, Acc_class: 0.9606807951665794, mIoU: 0.92848653789667, fwIoU: 0.9657014987711323, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 297, Acc: 0.982247176095095, Acc_class: 0.9597661282976855, mIoU: 0.9283795591326139, fwIoU: 0.9656809826951627, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 298, Acc: 0.9823106905309166, Acc_class: 0.9595848957190587, mIoU: 0.9285796936910046, fwIoU: 0.9657896540911466, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 299, Acc: 0.9822588123508225, Acc_class: 0.9604636852857061, mIoU: 0.9285139726585854, fwIoU: 0.9657235499324275, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 300, Acc: 0.9822491092885602, Acc_class: 0.960735582076174, mIoU: 0.9285160489273591, fwIoU: 0.9657145118110151, best_mIoU: 0.9288148176121784, Loss: 0.022
Epoch: 301, Acc: 0.9822150987053191, Acc_class: 0.9619834159378076, mIoU: 0.9285624153129896, fwIoU: 0.9656918566589628, best_mIoU: 0.9288148176121784, Loss: 0.023
Epoch: 302, Acc: 0.9819726072846845, Acc_class: 0.9617092835926622, mIoU: 0.9276739457895384, fwIoU: 0.9652481598949947, best_mIoU: 0.9288148176121784, Loss: 0.020
Epoch: 303, Acc: 0.9820081752471218, Acc_class: 0.9589102497054398, mIoU: 0.9274209342164669, fwIoU: 0.9652244642548173, best_mIoU: 0.9288148176121784, Loss: 0.022
