,after_Acc,after_Acc_class,after_fwIoU,after_mIoU,before_Acc,before_Acc_class,before_fwIoU,before_mIoU,filename,markssp_num,ssp_num,threshold
204,0.760848999,0.772961347,0.633311616,0.499583254,0.698287964,0.739752464,0.556698162,0.448894446,softmax_prob_top_potsdam_4_11_RGBIR_3234_3234.tif,113,,
205,0.853637695,0.740351528,0.788758893,0.595674219,0.825019836,0.693456053,0.755195729,0.560516182,softmax_prob_top_potsdam_3_12_RGBIR_1848_3696.tif,113,,
206,0.856174469,0.779057834,0.750849545,0.620998334,0.828388214,0.711006629,0.711817948,0.522163112,softmax_prob_top_potsdam_4_12_RGBIR_4620_5488.tif,113,,
207,0.865753174,0.775824731,0.768494704,0.689897468,0.849422455,0.842207814,0.744971984,0.71258231,softmax_prob_top_potsdam_3_10_RGBIR_5488_4620.tif,113,,
208,0.809329987,0.775752438,0.769633964,0.482905873,0.740501404,0.72641051,0.699991046,0.426282389,softmax_prob_top_potsdam_2_11_RGBIR_3696_3234.tif,113,,
209,0.945243835,0.857349834,0.902905698,0.777699263,0.93977356,0.852346748,0.894563548,0.715360603,softmax_prob_top_potsdam_7_12_RGBIR_2310_0.tif,113,,
210,0.895080566,0.694838044,0.823371479,0.479910368,0.864753723,0.624907001,0.781978544,0.347301243,softmax_prob_top_potsdam_5_15_RGBIR_3234_1848.tif,113,,
211,0.931949615,0.703161376,0.878426866,0.600850704,0.904491425,0.809353083,0.833456114,0.655213342,softmax_prob_top_potsdam_5_10_RGBIR_1386_4620.tif,113,,
212,0.999996185,0.999996185,0.999996185,0.499998093,0.999996185,0.999996185,0.999996185,0.499998093,softmax_prob_top_potsdam_7_10_RGBIR_924_4620.tif,113,,
213,0.930858612,0.895661338,0.870280888,0.848436385,0.912239075,0.872501777,0.837829645,0.817252444,softmax_prob_top_potsdam_3_14_RGBIR_5082_1848.tif,113,,
214,0.915840149,0.726682191,0.861688823,0.615387175,0.892288208,0.66019417,0.835536522,0.55839007,softmax_prob_top_potsdam_7_13_RGBIR_5488_924.tif,113,,
215,0.911354065,0.688677489,0.837821904,0.626164465,0.894695282,0.671888195,0.811751127,0.599940963,softmax_prob_top_potsdam_7_9_RGBIR_2310_4158.tif,113,,
216,0.866905212,0.680519528,0.764157103,0.596851346,0.845550537,0.629849447,0.731638878,0.448233345,softmax_prob_top_potsdam_3_13_RGBIR_5488_0.tif,113,,
217,0.752254486,0.787457076,0.617398862,0.488998245,0.690216064,0.740888361,0.540381935,0.436738155,softmax_prob_top_potsdam_4_13_RGBIR_3234_2310.tif,113,,
218,0.942901611,0.580850661,0.907150149,0.46336144,0.934307098,0.571549208,0.896567956,0.442548758,softmax_prob_top_potsdam_6_7_RGBIR_3696_1386.tif,113,,
219,0.91248703,0.849856809,0.852823951,0.620752888,0.900180817,0.813176871,0.834076182,0.592279042,softmax_prob_top_potsdam_4_10_RGBIR_462_2310.tif,113,,
220,0.862628937,0.718284901,0.794188822,0.289232147,0.812671661,0.601910538,0.735859775,0.229179319,softmax_prob_top_potsdam_6_10_RGBIR_3234_0.tif,113,,
221,0.839466095,0.83640376,0.730872995,0.54947338,0.801013947,0.793683271,0.678720926,0.509668305,softmax_prob_top_potsdam_2_14_RGBIR_2772_462.tif,113,,
222,0.862388611,0.766599058,0.775304907,0.638827255,0.839828491,0.719603244,0.747093621,0.609706964,softmax_prob_top_potsdam_7_7_RGBIR_2310_4620.tif,113,,
223,0.982078552,0.795692369,0.969689175,0.559202921,0.980541229,0.773718337,0.966654847,0.546243668,softmax_prob_top_potsdam_3_11_RGBIR_3696_2772.tif,113,,
224,0.856758118,0.761886056,0.747062452,0.671534463,0.805782318,0.627135679,0.672281774,0.523912386,softmax_prob_top_potsdam_6_11_RGBIR_462_4158.tif,113,,
225,0.881801605,0.72573491,0.811767844,0.544586384,0.856567383,0.709137859,0.781154034,0.525714585,softmax_prob_top_potsdam_2_11_RGBIR_5488_2310.tif,113,,
226,0.876296997,0.815854822,0.791366232,0.719689894,0.847309113,0.773667184,0.752750204,0.674529652,softmax_prob_top_potsdam_4_11_RGBIR_924_2310.tif,113,,
227,0.893928528,0.607206143,0.812950479,0.477642512,0.863059998,0.589732945,0.767079569,0.435218158,softmax_prob_top_potsdam_2_10_RGBIR_462_1386.tif,113,,
228,0.90581131,0.646390672,0.871690789,0.421064241,0.868274689,0.536405996,0.835524284,0.344564202,softmax_prob_top_potsdam_6_12_RGBIR_924_462.tif,113,,
229,0.927646637,0.738039704,0.864346578,0.681956691,0.924354553,0.681049183,0.856474249,0.629987417,softmax_prob_top_potsdam_2_12_RGBIR_4620_462.tif,113,,
230,0.975997925,0.782146865,0.964509404,0.631686723,0.97504425,0.786456202,0.963637565,0.633357455,softmax_prob_top_potsdam_7_13_RGBIR_3696_0.tif,113,,
231,0.944610596,0.792671414,0.910248478,0.572008423,0.936759949,0.788784113,0.899745442,0.469557008,softmax_prob_top_potsdam_6_14_RGBIR_4620_924.tif,113,,
232,0.866737366,0.833886176,0.777179026,0.699648806,0.845043182,0.813963167,0.747793971,0.672155725,softmax_prob_top_potsdam_4_10_RGBIR_3234_5082.tif,113,,
233,0.943283081,0.845173,0.896161363,0.787894056,0.930297852,0.806957304,0.875380817,0.739747775,softmax_prob_top_potsdam_3_12_RGBIR_1848_5082.tif,113,,
234,0.959400177,0.865982823,0.92479982,0.799905054,0.94739151,0.819556896,0.90259235,0.738876914,softmax_prob_top_potsdam_5_10_RGBIR_4158_5082.tif,113,,
235,0.914741516,0.737078735,0.848251743,0.666663953,0.892623901,0.638903119,0.812877852,0.566464362,softmax_prob_top_potsdam_3_11_RGBIR_1848_0.tif,113,,
236,0.797615051,0.687886832,0.728625533,0.494975349,0.756767273,0.62792104,0.68282335,0.437539889,softmax_prob_top_potsdam_5_11_RGBIR_5082_2310.tif,113,,
237,0.954650879,0.812255369,0.917197082,0.70691384,0.946372986,0.709511586,0.903313095,0.634751547,softmax_prob_top_potsdam_6_11_RGBIR_0_3696.tif,113,,
238,0.931037903,0.838865076,0.869695399,0.790266386,0.920776367,0.820130322,0.852279722,0.76308124,softmax_prob_top_potsdam_2_14_RGBIR_5082_2772.tif,113,,
239,0.919101715,0.48378407,0.865616867,0.29213443,0.894332886,0.447038897,0.832259595,0.25953927,softmax_prob_top_potsdam_6_7_RGBIR_4620_2310.tif,113,,
240,0.842041016,0.642209138,0.746713589,0.447213599,0.792316437,0.619685335,0.68383165,0.410231239,softmax_prob_top_potsdam_7_12_RGBIR_924_924.tif,113,,
241,0.886138916,0.74492467,0.828678579,0.518756056,0.877574921,0.742481072,0.823660109,0.518552294,softmax_prob_top_potsdam_6_11_RGBIR_3234_1386.tif,113,,
242,0.881217957,0.86890808,0.788990399,0.45156586,0.84998703,0.849129991,0.738550523,0.430973804,softmax_prob_top_potsdam_4_12_RGBIR_1848_3696.tif,113,,
243,0.867301941,0.821376551,0.772680256,0.59488599,0.846740723,0.783546756,0.740775786,0.559576467,softmax_prob_top_potsdam_2_11_RGBIR_924_5488.tif,113,,
244,0.926467896,0.8042677,0.867466678,0.732418691,0.914943695,0.758200399,0.84884675,0.683984821,softmax_prob_top_potsdam_4_15_RGBIR_924_924.tif,113,,
245,0.875480652,0.726441793,0.788243282,0.603638697,0.821975708,0.672758118,0.717437542,0.521332482,softmax_prob_top_potsdam_3_13_RGBIR_0_2772.tif,113,,
246,0.933670044,0.784185969,0.876960321,0.724048616,0.922294617,0.776320246,0.857723911,0.704184035,softmax_prob_top_potsdam_5_11_RGBIR_0_924.tif,113,,
247,0.980270386,0.844176941,0.9705158,0.483290988,0.980579376,0.845850151,0.971266093,0.487709643,softmax_prob_top_potsdam_7_13_RGBIR_0_924.tif,113,,
