,filename,markssp_num
240,softmax_prob_chicago27_924_3696.tif,68
241,softmax_prob_chicago28_0_462.tif,78
242,softmax_prob_chicago28_0_924.tif,85
243,softmax_prob_chicago28_1386_1848.tif,89
244,softmax_prob_chicago28_1386_2310.tif,89
245,softmax_prob_chicago28_1386_3234.tif,87
246,softmax_prob_chicago28_1848_1386.tif,91
247,softmax_prob_chicago28_1848_4488.tif,75
248,softmax_prob_chicago28_2310_2310.tif,85
249,softmax_prob_chicago28_2310_2772.tif,81
250,softmax_prob_chicago28_2310_3696.tif,114
251,softmax_prob_chicago28_2310_4488.tif,65
252,softmax_prob_chicago28_2772_3696.tif,81
253,softmax_prob_chicago28_3234_0.tif,79
254,softmax_prob_chicago28_4158_3234.tif,86
255,softmax_prob_chicago28_4158_924.tif,74
256,softmax_prob_chicago28_462_2310.tif,93
257,softmax_prob_chicago28_462_2772.tif,87
258,softmax_prob_chicago28_924_3696.tif,67
259,softmax_prob_chicago29_0_0.tif,77
260,softmax_prob_chicago29_1386_0.tif,81
261,softmax_prob_chicago29_1386_2310.tif,51
262,softmax_prob_chicago29_2772_462.tif,80
263,softmax_prob_chicago29_2772_924.tif,70
264,softmax_prob_chicago29_3696_3234.tif,80
265,softmax_prob_chicago29_4488_1848.tif,82
266,softmax_prob_chicago29_462_3234.tif,74
267,softmax_prob_chicago29_924_1386.tif,77
268,softmax_prob_chicago29_924_462.tif,89
269,softmax_prob_chicago2_3234_3696.tif,67
270,softmax_prob_chicago2_3234_462.tif,87
271,softmax_prob_chicago2_4158_1848.tif,61
272,softmax_prob_chicago2_4158_2310.tif,52
273,softmax_prob_chicago2_4158_3696.tif,63
274,softmax_prob_chicago2_4488_3234.tif,62
275,softmax_prob_chicago2_462_462.tif,92
276,softmax_prob_chicago2_924_924.tif,89
277,softmax_prob_chicago30_0_4488.tif,79
278,softmax_prob_chicago30_1386_462.tif,78
279,softmax_prob_chicago30_1848_1386.tif,85
280,softmax_prob_chicago30_1848_1848.tif,98
281,softmax_prob_chicago30_2310_0.tif,78
282,softmax_prob_chicago30_2772_1386.tif,88
283,softmax_prob_chicago30_2772_2772.tif,92
284,softmax_prob_chicago30_3696_1386.tif,69
285,softmax_prob_chicago30_3696_3234.tif,79
286,softmax_prob_chicago30_4158_4488.tif,62
287,softmax_prob_chicago30_924_1848.tif,120
288,softmax_prob_chicago30_924_3696.tif,86
289,softmax_prob_chicago31_0_0.tif,88
290,softmax_prob_chicago31_0_462.tif,79
291,softmax_prob_chicago31_1386_0.tif,67
292,softmax_prob_chicago31_1386_3696.tif,71
293,softmax_prob_chicago31_2310_1386.tif,60
294,softmax_prob_chicago31_2772_2772.tif,75
295,softmax_prob_chicago31_3696_2310.tif,87
296,softmax_prob_chicago31_3696_4488.tif,69
297,softmax_prob_chicago31_3696_462.tif,101
298,softmax_prob_chicago31_4158_2310.tif,96
299,softmax_prob_chicago31_4158_924.tif,78
300,softmax_prob_chicago31_4488_4488.tif,84
301,softmax_prob_chicago31_462_1386.tif,108
302,softmax_prob_chicago32_0_4158.tif,72
303,softmax_prob_chicago32_0_462.tif,89
304,softmax_prob_chicago32_1386_1386.tif,81
305,softmax_prob_chicago32_1386_462.tif,64
306,softmax_prob_chicago32_1848_2772.tif,102
307,softmax_prob_chicago32_2310_924.tif,130
308,softmax_prob_chicago32_2772_3234.tif,75
309,softmax_prob_chicago32_2772_924.tif,117
310,softmax_prob_chicago32_4158_2772.tif,79
311,softmax_prob_chicago32_4158_4158.tif,82
312,softmax_prob_chicago32_462_1386.tif,107
313,softmax_prob_chicago32_462_4158.tif,80
314,softmax_prob_chicago32_462_924.tif,69
315,softmax_prob_chicago32_924_0.tif,68
